genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
Comedy,55580,English,"This film is a series of letters, photos and video cassettes which women often send in to certain newspapers. By visualizing their story-telling (the name given by the psychologists to their fantasies) the film portrays the confessions, the secret longings, the adventures, recollections, dreams, desires and fantasies of these women. It is an open secret that most women dream of forbidden affairs, secret lovers and hasty encounters but when it comes down to it they lack the courage to pursue their dreams.",7.02299,Italy,P.O. Box Tinto Brass,5.1,22.0,1995,Tinto Brass
"Drama, Romance, Thriller",30301,Italian,"March 1945 Asolo, Italy. Livia Mazzion, the attractive wife of a top ministry official, slips into the car of lawyer Ugo Oggiano, Livia's admirer and her husband's informer. Livia must reach Venice and her lover Helmut Schultz, a Wermacht lieutenant, as beautiful and accursed as a pagan god, with whom she is having a burning love affair. During the trip she relives the high points of her devastati",1.621973,Italy,Black Angel,5.6,12.0,2002,Tinto Brass
"Drama, War",82737,Russian,"During the bloody war in Chechnya, a British couple and two Russian soldiers are taken hostage by Chechen rebels. Two of the hostages are then released to bring the money for the British woman who is forced to wait for the ransom.",1.522084,Russia,War,6.5,11.0,2002,Aleksey Balabanov
Drama,330697,Dutch,"The story of two brothers who, even though they have absolutely nothing in common, open a bar together that quickly becomes a regular hangout for nighthawks. Despite the success, they must soon face up to the difficulties inherent in running a family business. Their brotherhood turns into rivalry, through no fault of their own.",3.708558,"France, Belgium",Belgica,5.9,45.0,2016,Felix Van Groeningen
"Thriller, Horror",301365,English,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",13.410522,"France, United States of America, Denmark",The Neon Demon,6.4,926.0,2016,Nicolas Winding Refn
Drama,277713,English,The daughter of a Scottish farmer comes of age in the early 1900s.,2.710586,"United Kingdom, Luxembourg",Sunset Song,6.5,37.0,2015,Terence Davies
"Comedy, Action, Drama, Thriller, Science Fiction",364433,Italian,"Enzo Ceccotti comes into contact with a radioactive substance, then accidently discovers he has superpowers. A touchy, navel-gazing introvert, he’s sure his new capabilities will do wonders for his life of crime, but that all changes when he meets Alessia, who’s convinced he’s the hero from the famous Japanese comic strip, Steel Jeeg Robot.",10.649494,Italy,They Call Me Jeeg Robot,7.5,575.0,2015,Gabriele Mainetti
"Drama, Romance",37941,Tamil,"A young, aspiring filmmaker falls in love with a girl who moves into the house above his, but her sophisticated nature does more harm than good to him.",1.036233,"United Kingdom, India",Vinnaithaandi Varuvaayaa,7.7,19.0,2010,Gautham Vasudev Menon
"Action, Drama, Romance, Foreign",21463,Tamil,"Roja lives in a Tamil village, and her sister is about to marry a man from the city, who decides to marry Roja instead and gets a job assignment in Kashmir, where some militants decide to kidnap them.",0.589798,India,Roja,7.1,9.0,1992,Mani Ratnam
"Drama, Romance",82124,Tamil,"Divya, a woman grieving over the death of her lover, is convinced into an arranged marriage with Chandra Kumar. Over a year the couple attempt to adjust to each other's presence and live with each other.  Revathi is forced to marry Mohan in an arranged marriage. She lives in the memory of her lost love Karthik and asks for a divorce. The law requires them to stay together for a year before granting the divorce. That gives time for a lot of incidents in their lives and things change.",0.437959,India,Mouna Raagam,7.7,3.0,1986,Mani Ratnam
"Action, Drama",53883,Tamil,Anjathey is truly one of the master pieces of Tamil cinema in recent years.,0.158599,India,Anjathe,5.2,3.0,2008,Mysskin
"Action, Crime, Thriller",70988,Tamil,"Yutham Sei will feature Cheran as a CB-CID officer, according to film director Mysskin. story is a secret police officer in search of a serial killer.",0.986974,India,Yuddham Sei,7.7,3.0,2011,Mysskin
"Fantasy, Science Fiction, Animation",72188,French,"The film is set in the distant future in a city called Cahmpon. A scientist creates a synthetic life-form called Noiseman, which erases music from the airwaves by turning it into crystals. A group of Biker street kids rebels against this tyranny.",0.144065,Japan,Noiseman Sound Insect,7.3,4.0,1997,Kouji Morimoto
"Comedy, Drama",284135,Korean,"A Japanese man arrives in Korea to find his old lover. While he stays at a guest house, he encounters various people.",1.249293,South Korea,Hill of Freedom,7.6,14.0,2014,Hong Sang-soo
Drama,160075,Korean,"Haewon, a college student, wants to end her secret affair with her professor, Seongjun. Feeling depressed after bidding farewell to her mother who is set to immigrate to Canada the next day, Haewon seeks out Seongjun again after a long time. That day, they run into her classmates at a restaurant and their relationship gets revealed. Haewon gets more agitated and Seongjun makes an extreme suggestion to run away together… Haewon dreams often. Her dreams will be compared to her waking life, but none can be denied as being a part of her life.",1.965104,South Korea,Nobody's Daughter Haewon,7.0,15.0,2013,Hong Sang-soo
"Drama, Family",187662,Japanese,"In this film director Yoji Yamada bows down before his teacher and role model. Yamada was assistant director on Yazujirō Ozu’s Tōkyō monogatari, a moving family portrait set after the Second World War. In his remake, Yamada has made very few departures from Ozu’s masterpiece in order to update the story of ageing couple Shukichi and Tomiko to present day Japan. Once again, the pair decides to leave their quiet lives in the country to pay a visit to their children and grandchildren in Tokyo. Once there, they discover that neither their oldest son, a doctor named Koichi, nor their eldest daughter Shigeko - who runs a beauty parlour - has time for them: both are too busy attending to their everyday concerns. Even the youngest son went his own way. The old couple feel lonely and bewildered in the fast-paced metropolis.",1.48277,Japan,Tokyo Family,7.6,18.0,2013,Yôji Yamada
"Drama, Romance, Foreign",31626,Telugu,"Siddu is the son of an over-protective business man. Every decision of his is made by his father, which leads him into frustration. He half-heartedly agrees to become engaged to a rich man's daughter, but then falls for a middle-class man's daughter called Hasini. The film focuses on his realization that he has to stand on his own and come out of his father's protective shell- and try to succeed in love.",0.654216,India,Bommarillu,5.6,6.0,2006,Bhaskar
"Comedy, Drama, Foreign",23776,Telugu,Neelakanta (Prakash Raj)has two daughters. His elder daughter Subbalakshmi (Poonam Bajwa) elopes with a guy called Babu from a lower class on the night of her arranged marriage. Neelakanta men kidnap all the friends of Babu. Krishna (Allu Arjun) – a happy go lucky guy from Hyderabad – is one among them. Krishna likes a girl called Meena (Sheila) who happens to be the younger daughter of Neelakanta,0.976507,India,Parugu,4.5,6.0,2008,Bhaskar
Unknown,34763,Telugu,Sequel for Aarya by Allu Arjun,0.476043,India,Aarya 2,6.6,5.0,2009,Sukumar
Documentary,263976,Portuguese,"Written in 1625 by the British playwright Ben Jonson, the play “The Staple of News” provides a historic root for this discussion about the role of the press in modern day Brazil. Journalists of several generations discuss the dilemmas of the selection and focus of their subjects, the resistance of the media in accepting itself as a political agent (though it has had a crucial role in influencing and forming the public opinion), the inevitability of interpretation as there are no hard facts in nature, and (above all) the search for an always complex balance between credibility and the public’s growing demand for news, which brings some organs to approach the realm of entertainment.",0.128127,Brazil,The Staple of News,8.0,2.0,2014,Jorge Furtado
Drama,371647,English,"It is the 1960s. Two Maori families, the Mahanas and the Poatas, make a living shearing sheep on the east coast of New Zealand. The two clans, who are bitter enemies, face each other as rivals at the annual sheep shearing competitions. Simeon is a 14-year-old scion of the Mahana clan. A courageous schoolboy, he rebels against his authoritarian grandfather Tamihana and his traditional ways of thinking and begins to unravel the reasons for the long-standing feud between the two families. Before long, the hierarchies and established structures of the community are in disarray because Tamihana, who is as stubborn as he is proud, is not prepared to acquiesce and pursue new paths.",1.260373,New Zealand,Mahana,5.7,7.0,2016,Lee Tamahori
Western,159281,Italian,"A teacher, a gunman, an ex-Colonel and a beautiful girl decide to steal a big load of gold stored in Fort Henderson. The task is not easy, because the fort is very well guarded, but with adventurous stratagems...",0.043995,"France, Italy",Two Faces of the Dollar,7.0,1.0,1967,Roberto Bianchi Montero
